id,title,release_date,director,genres,vote_average,poster_path,overview
241239,El año más violento,2014-12-31,J.C. Chandor,"Crimen,Drama,Suspense",6.606,/bBR5wrEQslwahDHTqPrqfkAZ5Dm.jpg,"Narra una historia ambientada en Nueva York en 1981, estadísticamente el año más violento de la historia en la ciudad norteamericana. En ese contexto, un inmigrante y su familia intentan sacar su negocio adelante mientras la violencia y la corrupción amenazan con destruir todo lo que han logrado hasta ese momento."
475132,La corresponsal,2018-11-16,Matthew Heineman,"Drama,Bélica",6.784,/mu2CPpT2XUVgsDEdtcelXhq5DwH.jpg,"Marie Colvin fue una periodista reconocida mundialmente por su trabajo en distintos conflictos bélicos. Testigo de algunas cruentas batallas recientes, especialmente de lo sucedido en Oriente Medio, Colvin contaba con el respeto tanto de los lectores como de sus compañeros de profesión por su enorme valentía y humildad. Sin embargo, su personalidad era caótica y autodestructiva: abusaba del alcohol y su vida personal era, un auténtico desastre. Tras recibir el impacto de una granada en Sri Lanka, comienza a llevar un distintivo parche en el ojo mientras se sienta a tomar martinis rodeada de la alta sociedad londinense a la que tanto aborrece, hasta que un día recibe el más peligroso de todos los encargos, que acepta junto a su también prestigioso fotógrafo de guerra, Paul Conroy. Juntos viajan a Siria para cubrir lo que sucede en la ciudad de Homs, donde aprenderá el verdadero coste de la guerra, tanto física como psicológicamente."
25466,Acción mutante,1993-02-03,Álex de la Iglesia,"Acción,Comedia,Ciencia ficción,Suspense",6.2,/t4srw6JlV0VWYi41bldHM3s0c3o.jpg,"Bilbao, año 2012. Una extraña banda terrorista, ""Acción Mutante"", siembra el terror en el país. Está formada por seres deformes que pretenden vengarse de los ricos y guapos. El cerebro del grupo es el malvado Ramón, un ser sin escrúpulos. La banda planea el secuestro de la hija de un conocido industrial, durante una boda."
23051,Acción en el Atlántico Norte,1943-06-12,Lloyd Bacon,Bélica,7.1,/7sHE3Uni6L0ZNBsAdGpwmR9p0Tm.jpg,"Mientras transporta mercancías para sus aliados rusos una nave de mercante americana capitaneada por Raymond Massey es torpedeada. El valor de Massey y su primer oficial Humphrey Bogart sirve como una inspiración a los sobrevivientes que llevan su diminuto bote salvavidas a América donde son recibidos como héroes. A la tripulación se le asigna un nuevo Liberty Ship. A pesar de los miedos de ser torpedeados de nuevo, Massey, Bogart, y los otros hombres llevan su carga con éxito a Rusia a pesar de ser atacados por varios aviones alemanes en el proceso."
9772,Air Force One (El avión del presidente),1997-07-25,Wolfgang Petersen,"Acción,Suspense",6.469,/92bpypxAUwzlrhoFGtEyXVkGZrL.jpg,Un grupo de terroristas rusos se hacen pasar por periodistas y secuestran el avión donde viaja el presidente de Estados Unidos. La negociación en el aire no es tan sencilla como en tierra y los secuestrados comenzarán a luchar por sus vidas.
700391,65,2023-03-02,Scott Beck,"Acción,Aventura,Ciencia ficción",5.956,/dhqu9rInT9IOa2w0TU22YMEgGus.jpg,"Después de un catastrófico accidente en un planeta desconocido, el piloto Mills descubre rápidamente que realmente está varado en la Tierra… hace 65 millones de años. Ahora, con solo una oportunidad de rescate, Mills y la otra única superviviente, Koa, deberán abrirse camino a través del desconocido territorio plagado con peligrosas criaturas prehistóricas en una épica lucha por sobrevivir."
173,20.000 leguas de viaje submarino,1954-12-23,Richard Fleischer,"Aventura,Ciencia ficción,Fantasía",7.051,/zxsZrugzqLcrBYQRprI4Be89E4R.jpg,"Adaptación de la novela homónima de Julio Verne. En 1870, debido a los relatos de marineros que aseguran haber visto un monstruo marino al sur del Pacífico, los Estados Unidos fletan un buque de guerra para destruir a la bestia que altera la tranquilidad de los mares. Pero, cuando el monstruo los ataca, de nada sirve todo su poderío bélico para evitar el desastre. Tras el hundimiento del buque, los tripulantes son rescatados por el propio ""monstruo"", que resulta ser un buque capaz de sumergirse en el mar, algo inédito hasta entonces."
62,2001: una odisea del espacio,1968-04-02,Stanley Kubrick,"Ciencia ficción,Misterio,Aventura",8.056,/sln50uQYigvu5AvN72JfYfu1ckq.jpg,"Hace millones de años, en los albores del nacimiento del homo sapiens, unos simios descubren un monolito que les lleva a un estadio de inteligencia superior. Otro monolito vuelve a aparecer, millones de años después, enterrado en una luna, lo que provoca el interés de los científicos humanos. Por último, HAL 9000, una máquina de inteligencia artificial, es la encargada de todos los sistemas de una nave espacial tripulada durante una misión de la NASA."
53182,300: El origen de un imperio,2014-03-05,Noam Murro,"Acción,Drama,Bélica",6.115,/cbt5wY4rCe63JBmNYnJytJpFhnm.jpg,"La historia se ambienta en el año 490 a.C., unos diez años antes de la batalla de las Termópilas. El general griego Temistocles intenta unir las polis griegas para combatir a los persas invasores. Él dirigirá las tropas griegas que se enfrentarán con los persas en la decisiva batalla de Maratón. La derrota persa impedirá la invasión del país."
1594,El nuevo caso del inspector Clouseau,1964-06-23,Blake Edwards,"Comedia,Misterio,Crimen",7.173,/hkRfSzFAH6JUg8IoVBJunsN8mxY.jpg,"Nuevas aventuras del inspector francés Jacques Clouseau, inepto detective que en esta ocasión intentará resolver un caso en el que una doncella es acusada de asesinar a su amante."
44631,La isla de los corsarios,1952-12-24,George Sherman,"Drama,Aventura",6.0,/XTV85E2OuVS3LA2bTNBxNFgSI9.jpg,"En el siglo XVIII, los piratas de Madagascar, señores de la República de Libertatia y amos del océano Índico, viven asentados en una fortaleza natural inexpugnable, y matan, roban y saquean impunemente, de modo que la Armada británica traza un audaz plan para destruirlos."
149,Akira,1988-06-10,Katsuhiro Otomo,"Animación,Ciencia ficción,Acción",7.94,/vjPt8HYymLOkRv82x9JwVO7M2a5.jpg,"Corre el año 2019. Un estado policial, políticos tramposos, sectas religiosas, revolucionarios y un proyecto científico secreto se combinan para causar una atmósfera explosiva en Neo-Tokyo. Todos los grupos rivales quieren controlar a Akira, un chico con extraños poderes psíquicos que ha sido mantenido bajo custodia criogénica por más de 30 años. En medio de esta tensa atmósfera, un joven psíquico llamado Tetsuo libera a Akira."
420817,Aladdín,2019-05-22,Guy Ritchie,"Aventura,Fantasía,Romance,Familia",7.087,/trnyoKkkvvjZvRvCMrNDtSf25nH.jpg,"Aladdin es un adorable pero desafortunado ladronzuelo enamorado de la hija del Sultán, la princesa Jasmine. Para intentar conquistarla, acepta el desafío de Jafar, que consiste en entrar a una cueva en mitad del desierto para dar con una lámpara mágica que le concederá todos sus deseos. Allí es donde Aladdín conocerá al Genio, dando inicio a una aventura como nunca antes había imaginado."
241259,Alicia a través del espejo,2016-05-25,James Bobin,"Aventura,Familia,Fantasía",6.56,/enTsjngbsWuf1JB6YoYOOd67GdE.jpg,"En una fiesta en casa de Lord Ascott, Alicia se encuentra con Ábsolem, que ahora es una mariposa monarca azul que ayuda a Alicia a regresar al fantástico mundo de Infratierra, donde encuentra a sus amigos: el Conejo Blanco, el Gato Sonriente, Lirón, la Liebre, los Tweedles y el Sombrerero Loco, pero éste, desafortunadamente, ya no es el mismo: ha perdido su “muchosidad”. Alicia tendrá entonces que ir a ver a Tiempo. Tiempo, una peculiar criatura mitad humano, mitad reloj, vive en un vacío infinito y posee la cronoesfera, una esfera metálica que permitirá a Alicia volver para salvar a la familia del Sombrerero."
399579,Alita: Ángel de combate,2019-01-31,Robert Rodriguez,"Acción,Ciencia ficción,Aventura",7.244,/gn2OqceeLGLrPy5Abz2dceB0po8.jpg,"Ido, un compasivo médico de cíborgs, encuentra a Alita abandonada en el desguace de Iron City. Cuando Alita despierta, no sabe quién es, ni reconoce el mundo en el que se encuentra, todo es nuevo para ella. Ido intentará proteger a Alita de su misterioso pasado, mientras que su nuevo amigo Hugo le ayudará a despertar sus recuerdos. En ese momento, Alita descubre que posee habilidades de combate extraordinarias, que podría usar para salvar a su nueva familia y amigos. Decidida a encontrar la verdad tras sus orígenes, Alita comienza un viaje que le enfrentará a las injusticias de un mundo oscuro y corrupto, descubriendo que sólo ella puede cambiarlo."
399360,Alpha,2018-08-17,Albert Hughes,"Aventura,Drama",6.531,/kkvXeUfENk9ZG4ImsGCzpLnxXy3.jpg,"Alpha es una aventura épica ambientada en la última Edad de Hielo. Europa, 20.000 años atrás. En mitad de su primera cacería con el grupo de élite de su tribu, un joven es herido y dado por muerto. Al despertar se encontrará débil y solo, y deberá aprender a sobrevivir y abrirse camino ante la dura y cruel naturaleza. Acompañado a regañadientes de un lobo abandonado por su manada, los dos aprenderán a confiar el uno en el otro, convertirse en aliados y superar los innumerables peligros para, contra toda posibilidad, encontrar el camino a casa antes de que llegue el letal invierno."
545836,Amundsen: La gran expedición,2019-02-15,Espen Sandberg,"Drama,Historia,Aventura",6.0,/6gkL95QZzXVkQeDD5BC3wsjq1RV.jpg,"Narra la vida del legendario explorador noruego Roald Amundsen (1872-1928), un hombre que estuvo obsesionado con conquistar las zonas polares. Dirigió la expedición a la Antártida que por primera vez alcanzó el Polo Sur."
48646,Androcles y el león,1952-12-01,Chester Erskine,Comedia,5.8,/16XZFR47rhHcyh8Jh4FYpmQ7dYc.jpg,"Androcles es un cristiano que sigue las enseñanzas de la religión incluso con el trato hacia los animales. Viendo a un león con dolor, le elimina una gran espina de la pata; esto hace que se hagan amigos. Tiempo después, Androcles y otros cristianos son detenidos y condenados a morir en la arena comidos por los leones. Era demasiado esperar que uno de los leones pudiera tener una pata que había sanado recientemente y ¿podría recordar quien le ayudó a sanarla?"
102899,Ant-Man,2015-07-14,Peyton Reed,"Ciencia ficción,Aventura,Acción",7.066,/zwuE28gSXlLFLgueqMe9b7xKy1f.jpg,"Armado con la asombrosa capacidad de reducir su tamaño a la dimensiones de un insecto, el estafador Scott Lang debe sacar a relucir al héroe que lleva dentro y ayudar a su mentor, el doctor Hank Pym, a proteger de una nueva generación de amenazas el secreto que se esconde tras el traje de Ant-Man, con un casco que le permite comunicarse con las hormigas. A pesar de los obstáculos aparentemente insuperables que les acechan, Pym y Lang deben planear y llevar a cabo un atraco para intentar salvar al mundo."
640146,Ant-Man y la Avispa: Quantumanía,2023-02-15,Peyton Reed,"Acción,Aventura,Ciencia ficción",6.24,/lKHy0ntGPdQeFwvNq8gK1D0anEr.jpg,"La pareja de superhéroes Scott Lang y Hope van Dyne regresa para continuar sus aventuras como Ant-Man y la Avispa. Los dos, junto a los padres de Hope, Hank Pym y Janet van Dyne y la hija de Scott, Cassie Lang, se dedican a explorar el Mundo Cuántico, interactuando con nuevas y extrañas criaturas y embarcándose en una aventura que les llevará más allá de los límites de lo que creían posible."
363088,Ant-Man y la Avispa,2018-07-04,Peyton Reed,"Acción,Aventura,Ciencia ficción",6.906,/bvYI6i9lQ3bsup9PgnMF3YYr8ZR.jpg,"Mientras Scott Lang se convierte en un súper héroe y en un padre, Hope van Dyne y el Dr. Hank Pym presentan una nueva misión urgente que encuentra a Ant-Man luchando junto a The Wasp para descubrir secretos de su pasado."
664996,Apolo 10½: Una infancia espacial,2022-03-24,Richard Linklater,"Animación,Comedia,Drama",7.05,/yVvILZh3hRvvxOOzKnadSQtlkBM.jpg,Una aventura de la era espacial ambientada en el contexto de la misión lunar Apolo de 1969 e inspirada en la infancia del director Richard Linklater.
297802,Aquaman,2018-12-07,James Wan,"Acción,Aventura,Fantasía",6.867,/yTzr6Nc4RcTXVw9SsWQNJdcjTz5.jpg,"Arthur Curry, también conocido como Aquaman, es un habitante de un poderoso reino subacuático que recibe el nombre de la Atlántida. En esta película repleta de acción, aventura, e incluso partes de terror, conoceremos sus orígenes, desde que era un niño criado por un hombre humano y considerado un paria por los suyos, hasta que crece y debe hacer frente a los problemas que han aparecido en su mundo. Entonces, este hombre mitad humano y mitad atlante, emprenderá el viaje de su vida, en el que tendrá que descubrir quién es realmente y si es digno de ser un rey. Acompañado de Mera, hará frente a este y otros retos, mientras le planta cara a Black Manta y a su propio hermanastro Orm. ¿Será capaz de dirigir a su pueblo y convertirse en un héroe para el mundo?"
572802,Aquaman y el reino perdido,2023-12-20,James Wan,"Acción,Aventura,Fantasía",6.543,/a0QwtpUNIKjOlNoOVmk7d2LFnQW.jpg,"Al no poder derrotar a Aquaman la primera vez, Black Manta, todavía impulsado por la necesidad de vengar la muerte de su padre, no se detendrá ante nada para derrotar a Aquaman de una vez por todas. Esta vez Black Manta es más formidable que nunca y ejerce el poder del mítico Tridente Negro, que desata una fuerza antigua y malévola.  Para derrotarlo, Aquaman recurrirá a su hermano encarcelado Orm, el ex rey de la Atlántida, para forjar una alianza improbable. Juntos, deben dejar de lado sus diferencias para proteger su reino y salvar a la familia de Aquaman, y al mundo, de una destrucción irreversible."
9051,"10, la mujer perfecta",1979-10-05,Blake Edwards,"Comedia,Romance",5.741,/rXmeMMGgE1xIhkI5WBoJE9vY74C.jpg,"George Webber, famoso compositor de canciones románticas, está empezando a cansarse de la relación con su novia. Pero una circunstancia inesperada le ayudará a resolver el problema de modo fulminante: se cruza en la calle con una joven vestida de novia que lo deja absolutamente fascinado; tanto es así que, aun sabiendo que está casada, no parará hasta averiguar dónde pasará la luna de miel."
187017,Infiltrados en la universidad,2014-06-05,Phil Lord,"Crimen,Comedia,Acción",6.827,/yp172JRxaJaRkSyjLO3R9B3tJZJ.jpg,"La pareja de policías formada por Schmidt y Jenko vuelve a la carga después del éxito de la operación contra la red de narcotraficantes en el instituto. En esta ocasión, los agentes de la ley siguen perteneciendo a la unidad secreta Jump Street y tendrán que infiltrarse en una universidad para llevar a cabo una arriesgada investigación. Una nueva aventura que pondrá a prueba al dúo cada vez mejor compenetrado."
201765,Tres bodas de más,2013-12-05,Javier Ruiz Caldera,Comedia,6.0,/5S79gl0Z6YGeDsRkSiEXNyyOOlt.jpg,"Una mujer asiste a las sucesivas bodas de los hombres de su vida, sin que ella consiga encontrar a su media naranja. Tres ex novios para tres bodas. Un cóctel explosivo para Ruth, que tendrá que enfrentarse a su pasado y decidir con quién quiere compartir su futuro."
882040,30 noches con mi ex,2022-08-11,Adrián Suar,"Comedia,Romance",5.288,/nXbhchOec3MKtAcKPO82Qu8r5AW.jpg,"Turbo, luego de años de separado de la Loba, acepta, por pedido de la hija que tienen en común, convivir durante 30 días con su ex mujer, que viene de una larga internación psiquiátrica. La Loba debe hacer la transición entre la internación y su reinserción en la sociedad."
643717,36 Husbands,2019-09-05,Michael Glover,Comedia,4.7,/1wySKhg6GX2Ljf1Ytn9xnQB3WIZ.jpg,"36 Husbands es una comedia de espías de Kung Fu mística y musical protagonizada por 3 mujeres poderosas y un grupo de maridos. Krista, la mejor espía y maestra de Kung Fu, tiene poderes extraordinarios y los pone en acción en su búsqueda para frenar la marcha constante hacia la Tercera Guerra Mundial. Junto con sus discípulas de Kung Fu, Gina y Nola (y Frankie, un espía cedido por el MI6), luchan y aman su camino por el mundo dejando un rastro de corazones rotos y planes saboteados. Todos los espías y malhechores están sintonizando el programa de televisión Bright Blue Gorilla. ¿Por qué miran? ¿Es la música, es la comedia? Quizás puedas resolverlo."
942922,Locas por Brady,2023-02-03,Kyle Marvin,"Comedia,Drama",6.194,/4E10HQ6Od3fO8yRiWZPjgwYs9k5.jpg,Un cuarteto de mejores amigos mayores decide vivir la vida al máximo haciendo un viaje salvaje al Super Bowl LI para ver jugar a su héroe Tom Brady.
431530,El Gran Desmadre (Malas Madres 2),2017-08-04,Scott Moore,Comedia,6.318,/cnuqww5UXvvcqGh4NuEWt9g2qJa.jpg,"Amy, Kiki y Carla, madres poco valoradas y sobrecargadas de tareas, se rebelan contra los desafíos y las expectativas que genera lo que es una especie de Super Bowl para madres: la navidad. Como si crear las perfectas vacaciones para sus familias no fuera suficiente, recibirán la visita de sus respectivas madres."
11939,Un día en las carreras,1937-06-11,Sam Wood,"Comedia,Música",7.1,/5BEA21ECWcWnDN5ybch5yq7nL79.jpg,"El doctor Hugo Hackenbush (Groucho), Tony (Chico), y Stuffy (Harpo) intentan salvar el hospital de Judy con el dinero de una paciente millonaria. Para hacerlo, el Dr. Hackenbush se hace pasar por médico, aún cuando es sólo veterinario, y no permite que den el alta a la millonaria. Paralelamente deciden también intentar ganar una carrera con el caballo de Judy"
623,Un pez llamado Wanda,1988-07-15,Charles Crichton,"Comedia,Crimen",7.207,/urEkjQEOH3MgvdgQDaJIZHMaMzu.jpg,"Un grupo de delincuentes organizan un plan para robar una valiosa colección de diamantes en la joyería Hatton Gardens de Londres. Entre ellas se encuentra la encantadora Wanda, que va a intentar un doble juego para quedarse ella con el botín. Lo malo es que sólo George, el jefe de la banda, sabe dónde están escondidas las joyas, pero ha sido encarcelado."
17768,Golfus de Roma,1966-10-16,Richard Lester,"Música,Comedia,Romance",6.046,/5Q88in9R73r6wzMk5lkcz4Cpxig.jpg,"Cuando un astuto esclavo, mentiroso, perezoso, ocurrente y tramposo descubre que el hijo de su amo está enamorado de una joven virgen, le ofrece su ayuda para conquistarla si a cambio le condede la libertad. Pero los amoríos se ven obstaculizados por asombrosas sorpresas, ingeniosos disfraces y una alocada carrera de cuádrigas."
139038,Paranormal Movie,2013-01-11,Michael Tiddes,"Comedia,Terror",5.944,/fg77NpfP3P07hJU2dPXL8nFcpiS.jpg,"Una joven pareja, Malcolm (Marlon Wayans) y Kisha (Essence Atkins), se acaban de mudar a la casa de sus sueño. Al instalarse, descubren que no están solos en ella. Pero no es la casa la que está embrujada, sino la novia de Malcolm, que parece estar poseída por un demonio.  Malcolm contrata a un sacerdote para librarla de este intruso, decidido a no dejar que el espíritu maligno arruine su relación... o, más importante aún, su vida sexual..."
874260,A Kiss Before Christmas,2021-11-21,Jeff Beesley,"Película de TV,Romance,Comedia,Drama",5.985,/ma8NZSDDx7e7BnYS9Rca3oDknOd.jpg,
188161,Mil maneras de morder el polvo,2014-05-22,Seth MacFarlane,"Comedia,Western",6.054,/vm0dutP6EqrVf1w7qZPYKkXpkn5.jpg,"Albert, un granjero cobarde, que al echarse atrás en un duelo pistolero, su novia decide abandonarlo por otro hombre. Sin embargo, llegará a la ciudad una hermosa mujer, de quien se enamora y que lo ayudará a descubrir su coraje que será puesto a prueba inmediatamente, dado que esta llamativa mujer arrastra un marido prófugo que reclama venganza."
37719,Una noche en la ópera,1935-11-15,Sam Wood,"Comedia,Música",7.412,/sHI2jFUFMrUOK0M277notbRSWty.jpg,"Los Hermanos Marx en la alta sociedad. A dos amantes que actúan en la ópera se les impide estar juntos porque no aceptan al hombre como tenor. Utilizando varios trucos típicos de los Hermanos Marx, logran que el tenor principal se ausente, y de esta manera el joven amante tendrá su oportunidad."
26940,Una noche en Casablanca,1946-05-10,Archie Mayo,Comedia,6.8,/6SbRrQQ8kQ26tmau88D8pYHH6Po.jpg,"Los Hermanos Marx están empleados en un hotel de Casablanca en la postguerra, donde un grupo de nazis está tratando de recuperar un alijo de tesoros robados."
33474,Abbott and Costello en la  Legion Extrangera,1950-08-05,Charles Lamont,"Comedia,Aventura",6.0,/e5sTLCpmqd6gWWbZ4cps9UkTKiN.jpg,"Jonesy y Lou están en Argelia buscando un luchador que están promoviendo. El sargento Axmann los engaña para que se unan a la Legión Extranjera, después de lo cual descubren la colaboración de Axmann con el desagradable jeque Hamud El Khalid. Los bits incluyen los avistamientos de espejismo de Lou, uno de los vendedores de periódicos de Nueva York (""me dieron una mala esquina"")."
33472,Abbott y Costello van a Marte,1953-04-06,Charles Lamont,"Comedia,Ciencia ficción",5.4,/wGnKIzOiymXrPq2GU5htrWVIXZK.jpg,"Lester y Orville lanzan un cohete de forma accidental, el cual se supone que va destinado a Marte pero, en vez de parar allí, llega a Nueva Orleans durante el Mardi Gras. Luego son obligados por el ladrón de bancos Mugsy y su compañero Harry, a viajar a Venus, donde encuentran una civilización entera de mujeres; los hombres son desterrados."
