id,name,first_air_date,actors,genres,vote_average,poster_path,overview,ubicacion
95665,Inventing Anna,2022-02-11,"Anna Chlumsky, Julia Garner, Arian Moayed, Katie Lowes, Alexis Floyd",Drama,6.8,/aZraQSnS9Dbvipv4WLJQ5xrhG3g.jpg,"¿Empresaria audaz o estafadora? Una periodista investiga la historia de Anna Delvey, que logró convencer a la élite de Nueva York de que era una rica heredera alemana.",M
95557,Invincible,2021-03-25,"Steven Yeun, Sandra Oh, J.K. Simmons","Animación,Sci-Fi & Fantasy,Action & Adventure,Drama",8.613,/4tblBrslcKSifMVZ3TmtT2ukMor.jpg,"Mark Grayson es un adolescente normal, excepto por el hecho de que su padre es el superhéroe más poderoso del planeta. Poco después de su decimoséptimo cumpleaños, Mark comienza a desarrollar sus propios poderes y entra en la tutela de su padre.",J
95557,Invincible,2021-03-25,"Steven Yeun, Sandra Oh, J.K. Simmons","Animación,Sci-Fi & Fantasy,Action & Adventure,Drama",8.613,/4tblBrslcKSifMVZ3TmtT2ukMor.jpg,"Mark Grayson es un adolescente normal, excepto por el hecho de que su padre es el superhéroe más poderoso del planeta. Poco después de su decimoséptimo cumpleaños, Mark comienza a desarrollar sus propios poderes y entra en la tutela de su padre.",P
155646,"Yosi, the Regretful Spy",2022-04-29,"Gustavo Bassani, Minerva Casero, Natalia Oreiro, Alejandro Awada, Carla Quevedo","Crimen,Drama",6.8,/qGXHDNhbPel7oq0maxTrO06UXB9.jpg,"Basado en hechos reales. Un agente de inteligencia argentino se infiltra en la comunidad judía de Buenos Aires en la década de los 80 bajo el nombre en clave de Iosi. Sin que él lo supiera, estaba allanando el camino para dos de los peores atentados terroristas de la historia de América Latina, los atentados con bomba contra la embajada de Israel en 1992 y contra el edificio de la AMIA en 1994. Años después, carcomido por la culpa, intenta llevar ante la justicia a los verdaderos autores intelectuales.",M O
275828,James May and the Dull Men,2024-11-05,"James May, Sebastian Tiley",Documental,7.0,/pXWFmX3tjAX3iSsQjnT5wcE03wN.jpg,,P
106694,James May: Oh Cook!,2020-11-13,"Nikki Morgan, James May",Documental,6.529,/l5cFF3uuSfvoy6s7cVP0sX5EwHX.jpg,"James May no es chef. Pero ese es el punto: no necesitas ser un cocinero brillante para hacer una comida deliciosa. Transportándonos al Lejano Oriente, el Mediterráneo y el pub local, todo desde la comodidad de la cocina de un economista hogareño, preparará deliciosas recetas que usted mismo puede hacer, con ingredientes que realmente puede comprar. Y todo sin los trucos habituales del formato de cocina televisiva.",J
96723,James May: Our Man in…,2020-01-03,James May,"Documental,Comedia,Action & Adventure",7.555,/qIoGE9kSuBE5NiaLclNDfHTpwhu.jpg,"James May inicia un viaje extraordinario a través de Japón, desde el helado norte hasta el templado sur. Verá los lugares de interés, conocerá a los locales y comerá fideos en un intento por entender de verdad la Tierra del Sol Naciente.",O
96723,James May: Our Man in…,2020-01-03,James May,"Documental,Comedia,Action & Adventure",7.555,/qIoGE9kSuBE5NiaLclNDfHTpwhu.jpg,"James May inicia un viaje extraordinario a través de Japón, desde el helado norte hasta el templado sur. Verá los lugares de interés, conocerá a los locales y comerá fideos en un intento por entender de verdad la Tierra del Sol Naciente.",M
96723,James May: Our Man in…,2020-01-03,James May,"Documental,Comedia,Action & Adventure",7.555,/qIoGE9kSuBE5NiaLclNDfHTpwhu.jpg,"James May inicia un viaje extraordinario a través de Japón, desde el helado norte hasta el templado sur. Verá los lugares de interés, conocerá a los locales y comerá fideos en un intento por entender de verdad la Tierra del Sol Naciente.",J
61285,James May's Cars of the People,2014-08-10,James May,Documental,7.705,/jnpgKyje1iO85MDSD2Ao4dId51z.jpg,,J
103506,Jeffrey Epstein: Filthy Rich,2020-05-27,"Jeffrey Epstein, Ghislaine Maxwell","Crimen,Documental",7.0,/vV72HIa2a1nnqb5nCHUf5Dn2Y5d.jpg,"Los relatos de las sobrevivientes avivan esta docuserie, que analiza cómo el convicto abusador sexual Jeffrey Epstein usaba su riqueza y poder para perpetrar sus delitos.",K
196122,Jimmy Savile: A British Horror Story,2022-04-06,"Jimmy Savile, Terry Wogan, Mark Lawson, Carlos III de Reino Unido, Gary Glitter","Documental,Crimen",6.761,/2ZEA9sDHYjlizdkQhO5mFDLlm13.jpg,"Jimmy Savile fue una de las personalidades de la televisión más queridas del Reino Unido. Poco después de su muerte en 2011, una investigación generó más de 450 horribles denuncias de agresión y abuso sexual, con víctimas de tan solo 5 años.",M
130119,John of God: The Crimes of a Spiritual Healer,2021-08-25,"Andrea Mannelli, Rejane Araújo, Jardel Wagner, Norberto Kist, Angela Homercher","Documental,Crimen",6.375,/kQaj9ZMRLW7n6qLIpTiBk748MIU.jpg,,J
