id,name,first_air_date,actors,genres,vote_average,poster_path,overview,ubicacion
208851,A Thousand Blows,2025-02-21,"Malachi Kirby, Erin Doherty, Stephen Graham, Caoilfhionn Dunne, Morgan Hilaire",Drama,6.684,/598wQ3wr0fxpGemkR7ZVFTuHPXg.jpg,"Hezekiah y Alec, dos amigos de Jamaica, se ven inmersos en los bajos fondos del East End de Londres. Allí, conocen a Mary Carr, reina de una banda criminal formada íntegramente por mujeres conocida como las Cuarenta Elefantas, y se topan con Sugar Goodson, capo criminal y famoso boxeador.",P
139064,A Very British Scandal,2021-12-26,"Claire Foy, Paul Bettany, Julia Davis, Richard McCabe",Drama,6.688,/rCa2Cdb3JNx2jka2LQJeaSTCIeH.jpg,"Sexo, secretos y sospechas: la verdadera historia de una duquesa avergonzada públicamente en un divorcio de la alta sociedad que se apoderó de la nación.",J K
125935,Abbott Elementary,2021-12-07,"Quinta Brunson, Tyler James Williams, Sheryl Lee Ralph, Lisa Ann Walter, Chris Perfetti",Comedia,7.5,/nBe1e3JJEZ6veGrVXNF0fRoLu56.jpg,"Un grupo de profesores llenos de vocación, con una directora sorda, en su día a día mientras intentan apañárselas con el sistema de educación pública de Filadelfia. Pese a todos los obstáculos que se les ponen por delante, no tiran la toalla a la hora de intentar que sus alumnos logren el éxito en la vida. Aunque a estos increíbles esclavos del sistema público les paguen poco y algunas cosas les vengan grandes, adoran su trabajo, por mucho que la predisposición del distrito escolar por mejorar la educación de los niños brille por su ausencia.",M O P
249042,Adolescence,2025-03-13,,"Drama,Crimen",7.8,/20i4nShZZg1g1VFHSB8xpaYM4r7.jpg,"El mundo de una familia se pone patas arriba cuando Jamie Miller, de 13 años, es arrestado y acusado de asesinar a una compañera de clase. Los cargos contra su hijo les obliga a enfrentarse a la peor pesadilla de cualquier padre.",P
197406,Life After Life,2022-04-19,"Thomasin McKenzie, Sian Clifford, Jessica Brown Findlay, James McArdle, Jessica Hynes",Drama,7.081,/s4b6C3B8M4JVGNvugs0jR7E1ywd.jpg,"Brillante miniserie británica que adapta la novela de Kate Atkinson, en la que una mujer de mediados de siglo XX experimenta un ciclo interminable de nacimiento, muerte y renacimiento.",J
138501,Agatha All Along,2024-09-18,"Kathryn Hahn, Joe Locke, Sasheer Zamata, Ali Ahn, Debra Jo Rupp","Sci-Fi & Fantasy,Misterio",7.441,/mGsxKwXUjojitRv2E9qMTbxbBRd.jpg,Agatha Harkness reúne un aquelarre de brujas y parte hacia la Senda de las Brujas.,O
298234,aka Charlie Sheen,2025-09-10,"Charlie Sheen, Jon Cryer, Sean Penn, Ramon Estevez, Chris Tucker",Documental,7.507,/pHAM8Fzek7xwTbqmaxPXAjCAjz1.jpg,"El actor Charlie Sheen narra su historia en este sincero documental de dos partes que recorre su deslumbrante ascenso en Hollywood, comentadísima caída y proceso de recuperación.",P
4658,ALF,1986-09-22,"Max Wright, Anne Schedeen, Andrea Elson, Benji Gregory, Mihaly 'Michu' Meszaros","Comedia,Familia,Sci-Fi & Fantasy",7.641,/shRed7ZrCRjdIMEYNx2YBVFkkNu.jpg,"La nave espacial de un pequeño extraterrestre del planeta Melmac se estrella contra la Tierra. Los Tanner, una típica familia norteamericana, lo acogen en su casa y lo ocultan no sólo a las autoridades, sino también a los vecinos, amigos y parientes, porque creen que de lo contrario la vida del simpático alienígena (al que llaman Alf) correría peligro. Muy pronto Alf se convierte en uno más de la familia, pero también creará problemas de convivencia, pues es un ser comodón y poco educado que sólo piensa en comer y en ver la tele.",M
72615,Alias Grace,2017-09-25,"Sarah Gadon, Edward Holcroft, Rebecca Liddiard, Zachary Levi, Kerr Logan","Crimen,Drama",7.2,/m6ChYjCPMpzAPzR7jm0omLbu9hS.jpg,"Grace Marks es una joven inmigrante irlandesa y empleada doméstica en el Alto Canadá que fue condenada por el brutal asesinato de su jefe, Thomas Kinnear, y su ama de llaves, Nancy Montgomery, en 1843. ¿Pero fue ella en realidad o sólo estaba en el lugar equivocado?.",J
7406,All Creatures Great and Small,1978-01-08,"Lynda Bellingham, Robert Hardy, Christopher Timothy, Carol Drinkwater, Peter Davison","Comedia,Drama",7.796,/inl6wqdRPoLEDXttC33x9PBoMbN.jpg,Aventuras y desventuras de los trabajadores de una oficina veterinaria en la década de los años 40 en Yorkshire.,J N
